,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.058538694,0.026832275,-0.002266928,-0.00010651487,68,0.3469387755102041,0.9500957131385803,0.7028224468231201,0.6988083124160767,0.2472732663154602,0.25128740072250366,True,True,True,0.26026142723937656,0.2644864062088985
sample_1,0,-0.030669639,0.0077575706,-0.0017220938,-0.00013121263,70,0.35714285714285715,0.946395754814148,0.9635539054870605,0.656360924243927,-0.017158150672912598,0.29003483057022095,True,True,True,-0.018129995391074103,0.3064625227816852
sample_2,0,-0.025162198,0.0064410674,-0.0013075296,-0.000112187285,67,0.34183673469387754,0.9427314400672913,0.7249594330787659,0.9262521266937256,0.2177720069885254,0.016479313373565674,True,True,True,0.23100110777357868,0.01748039014418507
sample_3,0,-0.026940571,0.01098785,-0.0012350334,-7.834498e-05,71,0.3622448979591837,0.9480113387107849,0.8113480806350708,0.9034298062324524,0.1366632580757141,0.04458153247833252,True,True,True,0.14415783070861216,0.0470263705273395
sample_4,0,-0.028170204,0.01356503,-0.001464557,0.00015983975,74,0.37755102040816324,0.9471681714057922,0.5921230912208557,0.9624063372612,0.3550450801849365,-0.015238165855407715,True,True,True,0.37484904043806355,-0.016088131247897767
sample_5,0,-0.03147028,0.07248621,-0.0017577751,-0.00044009142,58,0.29591836734693877,0.966270387172699,0.8906124830245972,0.9916565418243408,0.0756579041481018,-0.025386154651641846,True,True,True,0.07829889558084911,-0.026272309478428263
sample_6,0,-0.019787591,0.06364672,-0.0013883496,-0.00054820545,65,0.33163265306122447,0.9871774911880493,0.7543496489524841,0.8973255157470703,0.23282784223556519,0.089851975440979,True,True,True,0.23585205731885286,0.09101906824561393
sample_7,0,-0.018635591,0.0886915,-0.0010496667,-0.00047149975,67,0.34183673469387754,0.9858697652816772,0.45768922567367554,0.9870808720588684,0.5281805396080017,-0.0012111067771911621,True,False,True,0.5357508245088467,-0.0012284652799400247
sample_8,0,-0.023386393,0.12598468,-0.0007421545,-0.0006051673,62,0.3163265306122449,0.9499373435974121,0.8047283291816711,0.9775436520576477,0.14520901441574097,-0.027606308460235596,True,True,True,0.15286167597731712,-0.029061188768188147
sample_9,0,-0.028829824,0.1345958,-0.0009554702,-0.00081052806,61,0.3112244897959184,0.908511757850647,0.8923631310462952,0.9924033880233765,0.016148626804351807,-0.08389163017272949,True,True,True,0.017774813220421227,-0.09233961965577632
sample_10,0,-0.07609948,0.17254835,-0.0026412623,-0.0011581774,48,0.24489795918367346,0.7029452919960022,0.5474023818969727,0.6628866791725159,0.15554291009902954,0.04005861282348633,True,True,True,0.22127313728408063,0.05698681430775434
sample_11,0,-0.03739837,0.09405354,-0.0014107443,-0.0008011224,53,0.27040816326530615,0.8905636072158813,0.8278417587280273,0.9739039540290833,0.062721848487854,-0.0833403468132019,True,True,True,0.07042938649148012,-0.09358157703495668
sample_12,0,-0.031500705,0.041621484,-0.0013703047,-0.0005476405,63,0.32142857142857145,0.9049097299575806,0.7906302213668823,0.985009491443634,0.11427950859069824,-0.08009976148605347,False,False,False,0.12628829684045426,-0.08851685293494226
sample_13,0,-0.017195998,0.018890841,-0.00086943776,-0.00020270667,69,0.3520408163265306,0.9480711221694946,0.6318823099136353,0.8343325257301331,0.3161888122558594,0.11373859643936157,False,False,False,0.33350748151923104,0.11996842196721563
sample_14,0,-0.012472365,0.011557087,-0.0005655077,-0.00023193813,62,0.3163265306122449,0.9666828513145447,0.5367606282234192,0.8677334189414978,0.4299222230911255,0.09894943237304688,False,False,False,0.4447396811751603,0.10235976798232263
sample_15,0,-0.009401714,0.01012843,-0.0005340882,1.4941159e-05,72,0.3673469387755102,0.9751161336898804,0.8273841738700867,0.958739161491394,0.1477319598197937,0.016376972198486328,False,False,False,0.1515019131729159,0.01679489409791137
