,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.019245507,0.014294129,-0.0005473786,2.6691518e-05,44,0.22448979591836735,0.9500957131385803,0.9608970284461975,0.862831711769104,-0.010801315307617188,0.08726400136947632,True,True,True,-0.011368660186809742,0.09184758984040174
sample_1,0,-0.017484572,0.014094639,-0.00081604486,-3.105699e-05,39,0.1989795918367347,0.946395754814148,0.951077938079834,0.9614969491958618,-0.004682183265686035,-0.015101194381713867,True,True,True,-0.0049473840535194675,-0.015956532248688524
sample_2,0,-0.017620936,0.009803942,-0.0007856662,-0.00011411304,39,0.1989795918367347,0.9427314400672913,0.7997291088104248,0.98215252161026,0.14300233125686646,-0.03942108154296875,True,True,True,0.15168936261069121,-0.04181581293199992
sample_3,0,-0.020159025,0.012693832,-0.00074061623,-8.7083536e-05,40,0.20408163265306123,0.9480113387107849,0.8174759745597839,0.9100488424301147,0.13053536415100098,0.037962496280670166,True,True,True,0.13769388489437057,0.04004434834323389
sample_4,0,-0.026793176,0.013946635,-0.00081021735,-0.00020246083,38,0.19387755102040816,0.9471681714057922,0.7818549275398254,0.9816122651100159,0.1653132438659668,-0.03444409370422363,True,True,True,0.17453420507216577,-0.03636534117600417
sample_5,0,-0.028138148,0.05650883,-0.0008965147,-0.00024251617,39,0.1989795918367347,0.966270387172699,0.8550961017608643,0.9824044108390808,0.11117428541183472,-0.016134023666381836,True,True,True,0.11505504762194976,-0.016697214237921424
sample_6,0,-0.01570288,0.041004784,-0.0005026803,-0.00025143859,35,0.17857142857142858,0.9871774911880493,0.7800350785255432,0.9929900169372559,0.2071424126625061,-0.005812525749206543,True,True,True,0.20983299813006692,-0.005888025001675513
sample_7,0,-0.01721502,0.055358887,-0.00044097294,-0.00013545546,38,0.19387755102040816,0.9858697652816772,0.9264988899230957,0.9900522828102112,0.05937087535858154,-0.0041825175285339355,True,True,True,0.060221823864958904,-0.004242464548386804
sample_8,0,-0.029402155,0.095051564,-0.0005331163,-0.0005766337,32,0.16326530612244897,0.9499373435974121,0.8043991923332214,0.9432724714279175,0.14553815126419067,0.006664872169494629,True,True,True,0.1532081586697474,0.007016117657039108
sample_9,0,-0.06285682,0.11155178,-0.001019863,-0.00084425294,33,0.1683673469387755,0.908511757850647,0.6212654709815979,0.7060125470161438,0.2872462868690491,0.20249921083450317,True,True,True,0.3161723383180148,0.22289112835872912
