,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.055556186,0.03825055,0.0017072319,-0.0005726144,38,0.19387755102040816,0.9500957131385803,0.9705291986465454,0.9889294505119324,-0.020433485507965088,-0.03883373737335205,True,True,True,-0.021506765292587604,-0.04087350025511355
sample_1,0,-0.012261033,0.025190277,0.0016883533,0.0017208346,51,0.2602040816326531,0.946395754814148,0.9805317521095276,0.8262937068939209,-0.03413599729537964,0.12010204792022705,True,True,True,-0.03606947423605384,0.12690467736070155
sample_2,0,-0.03369385,0.065629035,0.0016696581,0.00029595263,45,0.22959183673469388,0.9427314400672913,0.98385089635849,0.9120212197303772,-0.04111945629119873,0.030710220336914062,True,True,True,-0.043617359667418816,0.032575788853209345
sample_3,0,-0.03900889,0.028771054,0.001696597,-0.0009406286,40,0.20408163265306123,0.9480113387107849,0.9305727481842041,0.9919294118881226,0.01743859052658081,-0.043918073177337646,True,True,True,0.018394917670811636,-0.046326527314602066
sample_4,0,-0.015466391,0.012059854,0.0016922951,0.0026140963,64,0.32653061224489793,0.9471681714057922,0.68526691198349,0.9629132151603699,0.26190125942230225,-0.015745043754577637,True,True,True,0.2765097765411468,-0.016623282147676853
sample_5,0,-0.018666321,0.040632397,0.0017897551,0.001699002,56,0.2857142857142857,0.966270387172699,0.9834175705909729,0.9335879683494568,-0.017147183418273926,0.03268241882324219,True,True,True,-0.01774574037029788,0.03382326443726661
sample_6,0,-0.06949909,0.04389123,0.0018964242,0.0013767007,49,0.25,0.9871774911880493,0.9942479133605957,0.9660025835037231,-0.007070422172546387,0.021174907684326172,True,True,True,-0.007162260318595057,0.021449949855362457
sample_7,0,-0.06197906,0.033366546,0.0018897519,0.0036367038,58,0.29591836734693877,0.9858697652816772,0.9439665675163269,0.9645233154296875,0.04190319776535034,0.021346449851989746,True,True,True,0.04250378624135815,0.021652403394165107
sample_8,0,-0.039876524,0.026675241,0.0017064237,0.0018755747,55,0.28061224489795916,0.9499373435974121,0.711965024471283,0.9655581712722778,0.23797231912612915,-0.015620827674865723,True,True,True,0.25051370043515514,-0.01644406105323711
sample_9,0,-0.027454583,0.033686146,0.0014950673,0.0037283283,53,0.27040816326530615,0.908511757850647,0.9396498203277588,0.9950597882270813,-0.031138062477111816,-0.08654803037643433,True,True,True,-0.03427370334840586,-0.09526352260006989
sample_10,0,-0.0501431,0.079732746,0.0004462601,0.00019986842,45,0.22959183673469388,0.7029452919960022,0.9327531456947327,0.5995649695396423,-0.22980785369873047,0.10338032245635986,True,True,True,-0.3269213924830404,0.14706738011263018
sample_11,0,-0.053427525,0.04072263,0.0014034971,0.0024509726,57,0.29081632653061223,0.8905636072158813,0.8569449186325073,0.9911013841629028,0.03361868858337402,-0.10053777694702148,True,True,True,0.03774990164764786,-0.11289230340472485
sample_12,0,-0.036382448,0.042759072,0.0014766911,0.0017721318,53,0.27040816326530615,0.9049097299575806,0.9927660226821899,0.8367183208465576,-0.08785629272460938,0.06819140911102295,False,False,False,-0.09708846066748317,0.07535713989308034
sample_13,0,-0.056762293,0.04922067,0.0016969007,0.0010965634,46,0.23469387755102042,0.9480711221694946,0.8697608709335327,0.9767534732818604,0.07831025123596191,-0.028682351112365723,False,False,False,0.08259955335076827,-0.030253374922686378
sample_14,0,-0.040174916,0.016125526,0.0017918593,0.003756682,62,0.3163265306122449,0.9666828513145447,0.9826124906539917,0.8671776056289673,-0.01592963933944702,0.09950524568557739,False,False,False,-0.016478661349774732,0.10293473764458021
sample_15,0,-0.02270319,0.03382985,0.0018348867,0.001313601,51,0.2602040816326531,0.9751161336898804,0.9526895880699158,0.9927228093147278,0.0224265456199646,-0.017606675624847412,False,False,False,0.02299884582475485,-0.018055978171772232
sample_16,0,-0.045872733,0.033591244,0.0018695162,0.00028808686,53,0.27040816326530615,0.981903612613678,0.901677131652832,0.7323881983757019,0.08022648096084595,0.24951541423797607,False,False,False,0.08170504714540694,0.25411395887810617
sample_17,0,-0.014973387,0.036420055,0.0018999903,0.00095555093,45,0.22959183673469388,0.9878765344619751,0.7567371129989624,0.9316555857658386,0.2311394214630127,0.056220948696136475,False,False,False,0.2339760216988023,0.05691090610503868
sample_18,0,-0.021251943,0.018687544,0.0018979439,0.000898213,47,0.23979591836734693,0.9874753355979919,0.9411131143569946,0.9513335227966309,0.046362221240997314,0.036141812801361084,False,False,False,0.04695025745926245,0.03660021825200773
sample_19,0,-0.06256472,0.026294157,0.0018811048,0.0026157703,76,0.3877551020408163,0.984174907207489,0.7573285102844238,0.760900616645813,0.22684639692306519,0.22327429056167603,True,True,True,0.23049398563383633,0.22686444139812248
sample_20,0,-0.03569111,0.031322647,0.001884309,0.0023079554,57,0.29081632653061223,0.9848029017448425,0.9840959310531616,0.8230059742927551,0.0007069706916809082,0.1617969274520874,True,True,True,0.000717880390510954,0.16429371518445035
sample_21,0,-0.007699566,0.053297974,0.0018869787,0.0011331378,59,0.3010204081632653,0.9853261709213257,0.8611887693405151,0.8247763514518738,0.12413740158081055,0.1605498194694519,True,True,True,0.12598610007966835,0.16294078469399667
sample_22,0,-0.013618933,0.019191816,0.0018817968,0.002194793,54,0.2755102040816326,0.9843107461929321,0.7975302934646606,0.9109883904457092,0.18678045272827148,0.0733223557472229,True,True,True,0.18975760800203753,0.07449106497192623
sample_23,0,-0.027034841,0.014562414,0.0018667354,0.003735376,58,0.29591836734693877,0.9813584685325623,0.7699065804481506,0.7684663534164429,0.21145188808441162,0.21289211511611938,True,True,True,0.2154685518744219,0.2169361369392977
sample_24,0,-0.059646737,0.054914173,0.0018839957,0.0038431038,60,0.30612244897959184,0.9847415089607239,0.776947557926178,0.997239351272583,0.2077939510345459,-0.01249784231185913,True,True,True,0.21101370171127182,-0.012691495380395917
sample_25,0,-0.07796838,0.026784223,0.0019201344,0.001490539,48,0.24489795918367346,0.9918248057365417,0.9611932039260864,0.9977071285247803,0.030631601810455322,-0.005882322788238525,True,True,True,0.030884085206669038,-0.00593080829821577
sample_26,0,-0.047665223,0.03204292,0.0019358527,0.0051736115,61,0.3112244897959184,0.9949054718017578,0.6906992197036743,0.970063328742981,0.3042062520980835,0.024842143058776855,True,True,True,0.30576397529221633,0.024969350117039896
sample_27,0,-0.03692412,0.022877265,0.0019188934,0.0025220187,57,0.29081632653061223,0.9915816187858582,0.9543231129646301,0.995408833026886,0.03725850582122803,-0.003827214241027832,True,True,True,0.037574825022320596,-0.0038597067236018994
