,predicted_class,min_Relevance,max_Relevance,mean_Relevance,median_Relevance,num_corrupted,fraction_corrupted,score1,score2,score3,delta_score1,delta_score2,original_acc,corrupted_acc,randomly_corrupted_acc,normalized_score_drop,normalized_score_drop_random
sample_0,0,-0.055556186,0.03825055,0.0017072319,-0.0005726144,3,0.015306122448979591,0.9500957131385803,0.9258090853691101,0.9568129777908325,0.024286627769470215,-0.006717264652252197,True,True,True,0.025562295917788004,-0.007070092580527643
sample_1,0,-0.012261033,0.025190277,0.0016883533,0.0017208346,4,0.02040816326530612,0.946395754814148,0.9510275721549988,0.9523248672485352,-0.00463181734085083,-0.005929112434387207,True,True,True,-0.004894165381965836,-0.006264939803699308
sample_2,0,-0.03369385,0.065629035,0.0016696581,0.00029595263,4,0.02040816326530612,0.9427314400672913,0.9389763474464417,0.9494033455848694,0.0037550926208496094,-0.006671905517578125,True,True,True,0.003983205037249605,-0.007077206969040823
sample_3,0,-0.03900889,0.028771054,0.001696597,-0.0009406286,3,0.015306122448979591,0.9480113387107849,0.9766064286231995,0.9481340050697327,-0.02859508991241455,-0.0001226663589477539,True,True,True,-0.030163236181648893,-0.00012939334577429185
sample_4,0,-0.015466391,0.012059854,0.0016922951,0.0026140963,6,0.030612244897959183,0.9471681714057922,0.9614964127540588,0.9590622782707214,-0.014328241348266602,-0.0118941068649292,True,True,True,-0.015127452316097727,-0.012557544926025016
sample_5,0,-0.018666321,0.040632397,0.0017897551,0.001699002,5,0.025510204081632654,0.966270387172699,0.9357738494873047,0.9739997386932373,0.030496537685394287,-0.00772935152053833,True,True,True,0.03156108071843841,-0.007999160093433436
sample_6,0,-0.06949909,0.04389123,0.0018964242,0.0013767007,4,0.02040816326530612,0.9871774911880493,0.9060730338096619,0.9859135746955872,0.08110445737838745,0.0012639164924621582,True,True,True,0.0821579281358814,0.0012803335810878942
sample_7,0,-0.06197906,0.033366546,0.0018897519,0.0036367038,5,0.025510204081632654,0.9858697652816772,0.9953728318214417,0.9649149775505066,-0.009503066539764404,0.020954787731170654,True,True,True,-0.00963927171156247,0.02125512767417466
sample_8,0,-0.039876524,0.026675241,0.0017064237,0.0018755747,5,0.025510204081632654,0.9499373435974121,0.9622097611427307,0.9409080147743225,-0.012272417545318604,0.0090293288230896,True,True,True,-0.012919186331640534,0.009505183561786862
sample_9,0,-0.027454583,0.033686146,0.0014950673,0.0037283283,5,0.025510204081632654,0.908511757850647,0.891944169998169,0.9253385066986084,0.016567587852478027,-0.016826748847961426,True,True,True,0.018235964157110693,-0.01852122298094421
