,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random
0.05,0.018951933956334027,0.002569853774730808,0.01700677759030532,0.6519507186858317,0.6570841889117043,0.6468172484599589,1.3933372739618355,18.107113529150542,2.0811173544067763,11.113793711653022,0.48357289527720737,0.5154004106776181,0.001026694045174538,0.4517453798767967,0.5390143737166324,0.009240246406570842
0.15,0.0720414449147215,0.018564191112635717,0.03688659989122053,0.6519507186858317,0.6550308008213552,0.662217659137577,1.578700019283585,9.120595263558132,1.0323581021665156,4.819451784777516,0.45585215605749485,0.5328542094455853,0.011293634496919919,0.40349075975359344,0.5574948665297741,0.039014373716632446
0.25,0.1255081087876629,0.038772915767288765,0.06889401755306984,0.6519507186858317,0.6611909650924025,0.6817248459958932,1.5744938908873378,6.337483203722643,0.958056041468798,2.699598233553279,0.4055441478439425,0.5708418891170431,0.023613963039014373,0.3870636550308008,0.5431211498973306,0.06981519507186858
0.35,0.17790093450111044,0.058090876597977154,0.08882407286375237,0.6519507186858317,0.6817248459958932,0.675564681724846,1.053722020448979,3.7230411670733954,0.7893609477562041,1.755385361670764,0.38809034907597534,0.5626283367556468,0.049281314168377825,0.3542094455852156,0.5544147843942505,0.09137577002053388
0.45,0.23101663663411973,0.08908788449903618,0.1053982151483636,0.6519507186858317,0.6827515400410678,0.688911704312115,1.1801876659759578,2.7016673897032017,0.5929985401352255,1.1981829550072183,0.3275154004106776,0.6036960985626283,0.06878850102669405,0.3398357289527721,0.553388090349076,0.10677618069815195
0.55,0.28399090642417124,0.1172478591907415,0.11757808410704039,0.6519507186858317,0.686858316221766,0.6694045174537988,0.8390012581748562,1.637062052331756,0.4289453708641884,0.8765550232855879,0.30390143737166325,0.6006160164271047,0.09548254620123203,0.3326488706365503,0.5431211498973306,0.12422997946611909
0.65,0.33710660855718055,0.16393600917973297,0.15022390513796627,0.6519507186858317,0.6981519507186859,0.6827515400410678,0.8140086907817269,0.698301361287764,0.46807417892211695,0.5251569216548693,0.26283367556468173,0.5841889117043121,0.15297741273100615,0.3028747433264887,0.5431211498973306,0.1540041067761807
0.75,0.3906047018396681,0.22241679375606419,0.15863252141696912,0.6519507186858317,0.6940451745379876,0.6817248459958932,0.5950517232917334,-0.00025526032908640417,0.3112039710340421,0.27776234187847626,0.1868583162217659,0.6057494866529775,0.20739219712525667,0.29774127310061604,0.5308008213552361,0.17145790554414783
0.85,0.4429660981435696,0.2852063935043531,0.19502813422027965,0.6519507186858317,0.6991786447638604,0.6694045174537988,0.4420808770760425,-0.49893808975592036,0.2508903515628475,-0.04295232402229665,0.17453798767967146,0.5523613963039015,0.2731006160164271,0.2535934291581109,0.5482546201232033,0.19815195071868583
0.95,0.496055609101957,0.403534565196125,0.1957011471480838,0.6519507186858317,0.6540041067761807,0.6786447638603696,-0.0700422780439695,-0.5631126472116366,0.17615692452866108,0.12323115172470622,0.10164271047227925,0.5092402464065708,0.3891170431211499,0.2515400410677618,0.5410677618069816,0.20739219712525667
1.0,0.5249968570590453,0.5637936120884636,0.1981651367962908,0.6519507186858317,0.5616016427104723,0.6930184804928131,-0.5552215621156436,-0.39684742573543996,0.17689257567899494,0.03302106361014312,0.055441478439425054,0.3603696098562628,0.5841889117043121,0.24537987679671458,0.5513347022587269,0.2032854209445585
