,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random
0.05,0.017846666387294076,0.004730115135717255,0.010918568444408782,0.6519507186858317,0.662217659137577,0.6540041067761807,0.6728236469603078,15.707334400908621,1.5111763437154837,13.309487288815689,0.4671457905544148,0.5297741273100616,0.003080082135523614,0.4589322381930185,0.5308008213552361,0.01026694045174538
0.15,0.06873088044252604,0.027407918395476013,0.03553727173765125,0.6519507186858317,0.660164271047228,0.6591375770020534,1.0942395014160669,7.538629023381398,1.0861330345573919,5.26110700690821,0.41478439425051333,0.5646817248459959,0.02053388090349076,0.41478439425051333,0.5503080082135524,0.03490759753593429
0.25,0.12007605917110167,0.03428250944150465,0.06495571732349603,0.6519507186858317,0.6581108829568788,0.6909650924024641,0.6578776977552282,5.104254092255514,0.9985956783624355,2.795404516991887,0.39630390143737165,0.5811088295687885,0.022587268993839837,0.3870636550308008,0.5400410677618069,0.0728952772073922
0.35,0.17044692620374632,0.06134187834629588,0.08199722692660684,0.6519507186858317,0.6735112936344969,0.6837782340862423,0.90996064767558,3.611740597001681,0.6925140548362729,2.0717330323566845,0.37679671457905545,0.5677618069815195,0.055441478439425054,0.3809034907597536,0.5308008213552361,0.08829568788501027
0.45,0.22140447554791934,0.08317253145045445,0.10695513734943203,0.6519507186858317,0.6714579055441479,0.6652977412731006,0.7933212118636884,2.2554153013037386,0.5559869371356695,1.2163521690674246,0.3326488706365503,0.5862422997946611,0.0811088295687885,0.337782340862423,0.5431211498973306,0.11909650924024641
0.55,0.27200058668231153,0.10750069052891001,0.11456440885408378,0.6519507186858317,0.6858316221765913,0.6735112936344969,0.7367501451604896,1.4987270088329812,0.5359242844824843,0.9295843183961394,0.31006160164271046,0.5882956878850103,0.10164271047227925,0.337782340862423,0.5349075975359343,0.1273100616016427
0.65,0.3229581360264845,0.1593650137580712,0.13230887587441073,0.6519507186858317,0.6837782340862423,0.662217659137577,0.8083341647196217,0.7854887228354666,0.42663936041720935,0.7487156311014873,0.2751540041067762,0.5811088295687885,0.1437371663244353,0.30390143737166325,0.553388090349076,0.14271047227926079
0.75,0.374287600050287,0.1904970961081601,0.1521512877831252,0.6519507186858317,0.6745379876796714,0.6786447638603696,0.5834524105726908,0.2676714032983716,0.2527083245141063,0.4656559888713754,0.24537987679671458,0.5677618069815195,0.1868583162217659,0.2915811088295688,0.5472279260780287,0.16119096509240247
0.85,0.4246741817877048,0.23175752203029062,0.1727436292320925,0.6519507186858317,0.6878850102669405,0.686858316221766,0.42255179250061564,-0.12416108549926141,0.3046234015794996,0.13460140759572248,0.21457905544147843,0.5657084188911704,0.21971252566735114,0.26899383983572894,0.5482546201232033,0.18275154004106775
0.95,0.47555839584293674,0.30279635591371334,0.19701374443766856,0.6519507186858317,0.6765913757700205,0.6971252566735113,0.25810887513624636,-0.45529731875989077,0.22348690473066016,-0.14611899967078035,0.15811088295687886,0.5595482546201233,0.28234086242299794,0.27104722792607805,0.5112936344969199,0.21765913757700206
1.0,0.5033262791769685,0.414788090036901,0.20540147502700976,0.6519507186858317,0.6201232032854209,0.6930184804928131,-0.08293264216458313,-0.8457346282982425,0.1227836386715016,-0.14538909180140847,0.10677618069815195,0.4671457905544148,0.4260780287474333,0.24845995893223818,0.5318275154004107,0.21971252566735114
