,mean_fraction_corrupted,mean_normalized_score_drop,mean_normalized_score_drop_random,original_acc,corrupted_acc,randomly_corrupted_acc,skewness,kurtosis,skewness_random,kurtosis_random,frac_neg,frac_05,frac_10,frac_neg_random,frac_05_random,frac_10_random
0.05,0.020476260319322752,0.010601195737132429,0.0189884349637367,0.6519507186858317,0.6745379876796714,0.6591375770020534,1.213732968230421,9.890122054861791,1.332353899508347,11.878638400601533,0.473305954825462,0.5112936344969199,0.015400410677618069,0.4486652977412731,0.5379876796714579,0.013347022587268994
0.15,0.07644156225118379,0.03011344168090917,0.047312544988995786,0.6519507186858317,0.6796714579055442,0.6909650924024641,0.8262350794144454,4.026603828150985,0.8412937878318889,3.7237270225850594,0.41170431211498976,0.5420944558521561,0.04620123203285421,0.39014373716632444,0.5728952772073922,0.03696098562628337
0.25,0.13304592884381675,0.0675861425521508,0.07482614864286229,0.6519507186858317,0.6817248459958932,0.7094455852156057,0.8742871722606171,2.7491667329325704,0.9464784961980526,2.4322284170853834,0.3675564681724846,0.5605749486652978,0.07186858316221766,0.3665297741273101,0.5657084188911704,0.06776180698151951
0.35,0.18846121610861996,0.08354084983178293,0.09249467463516435,0.6519507186858317,0.6837782340862423,0.6837782340862423,0.8096074657502391,1.7369948227265128,0.8198830517684844,1.4941671665588778,0.3593429158110883,0.5523613963039015,0.08829568788501027,0.34188911704312114,0.580082135523614,0.07802874743326489
0.45,0.24451556803419516,0.11216706972696801,0.12481966100456751,0.6519507186858317,0.6848049281314168,0.6858316221765913,0.540554671163933,1.314619870197455,0.5297845425757671,1.0104801109111259,0.32854209445585214,0.5616016427104723,0.10985626283367557,0.2997946611909651,0.5698151950718686,0.13039014373716631
0.55,0.300507061140678,0.1217709244569854,0.1451425919986117,0.6519507186858317,0.6950718685831622,0.6735112936344969,0.4264842898068411,0.9130294962022996,0.5517173699738804,0.7969934512219337,0.31211498973305957,0.5657084188911704,0.12217659137577003,0.2720739219712526,0.5965092402464066,0.13141683778234087
0.65,0.35656141306625316,0.1704925643842389,0.16262110741396776,0.6519507186858317,0.6806981519507187,0.6919917864476386,0.4798301339474939,0.3327100543008674,0.4081293985312821,0.3344386352244295,0.26386036960985626,0.5739219712525667,0.162217659137577,0.2792607802874743,0.5513347022587269,0.16940451745379878
0.75,0.4129929179063822,0.20318137481786555,0.19586745614989917,0.6519507186858317,0.6786447638603696,0.6848049281314168,0.309211129966207,0.07890172418831698,0.17896294802636822,0.03695779455129511,0.2402464065708419,0.5605749486652978,0.19917864476386038,0.24435318275154005,0.5574948665297741,0.19815195071868583
0.85,0.4685810669236894,0.21964938890879346,0.19573808874951013,0.6519507186858317,0.688911704312115,0.6899383983572895,0.09354003782892692,0.11694521768467725,0.2874302553474308,0.22902862017048742,0.23819301848049282,0.5492813141683778,0.21252566735112938,0.24127310061601642,0.5728952772073922,0.18583162217659138
0.95,0.5245463688555505,0.2706671945894558,0.2123630564240203,0.6519507186858317,0.6858316221765913,0.675564681724846,0.10640059345055732,-0.14751160820542752,0.20166052378428015,-0.008823758910255108,0.1806981519507187,0.5626283367556468,0.25667351129363447,0.23819301848049282,0.555441478439425,0.20636550308008214
1.0,0.5549909902359301,0.30771842963892954,0.2308485410129571,0.6519507186858317,0.6529774127310062,0.6960985626283368,-0.04428127851428702,-0.33763004443789946,0.07211188266172487,-0.07676810547488433,0.16940451745379878,0.526694045174538,0.30390143737166325,0.22895277207392198,0.5369609856262834,0.23408624229979466
